id,gid,x,y,v_x,v_y,radius,time
0,0,-8.960560,-1.015753,0.394396,-0.157531,0.750000,0.100000
1,0,-8.916246,0.988475,0.837535,-0.115252,0.750000,0.100000
2,1,-0.082268,0.000524,-0.822676,0.005243,0.750000,0.100000
0,0,-8.820041,-1.008413,1.405191,0.073402,0.750000,0.200000
1,0,-8.792731,0.997491,1.235153,0.090159,0.750000,0.200000
2,1,-0.216690,-0.001178,-1.344224,-0.017021,0.750000,0.200000
0,0,-8.661794,-1.036942,1.582473,-0.285295,0.750000,0.300000
1,0,-8.671597,1.017333,1.211339,0.198420,0.750000,0.300000
2,1,-0.344126,0.005143,-1.274363,0.063209,0.750000,0.300000
0,0,-8.534422,-1.035462,1.273722,0.014809,0.750000,0.400000
1,0,-8.537900,1.014860,1.336972,-0.024727,0.750000,0.400000
2,1,-0.473493,-0.000801,-1.293664,-0.059443,0.750000,0.400000
0,0,-8.417750,-1.061738,1.166723,-0.262768,0.750000,0.500000
1,0,-8.440391,1.022041,0.975090,0.071813,0.750000,0.500000
2,1,-0.609735,0.010390,-1.362425,0.111915,0.750000,0.500000
0,0,-8.290234,-1.062805,1.275159,-0.010663,0.750000,0.600000
1,0,-8.349395,1.034948,0.909958,0.129067,0.750000,0.600000
2,1,-0.744072,0.017410,-1.343365,0.070198,0.750000,0.600000
0,0,-8.137701,-1.046446,1.525328,0.163591,0.750000,0.700000
1,0,-8.264933,1.042920,0.844620,0.079721,0.750000,0.700000
2,1,-0.872928,0.003643,-1.288564,-0.137676,0.750000,0.700000
0,0,-7.994449,-1.037163,1.432524,0.092825,0.750000,0.800000
1,0,-8.177271,1.054562,0.876622,0.116420,0.750000,0.800000
2,1,-1.014936,0.015434,-1.420081,0.117911,0.750000,0.800000
0,0,-7.856555,-1.020654,1.378932,0.165088,0.750000,0.900000
1,0,-8.057591,1.073086,1.196806,0.185235,0.750000,0.900000
2,1,-1.147163,0.020029,-1.322269,0.045952,0.750000,0.900000
0,0,-7.731858,-1.027927,1.246969,-0.072729,0.750000,1.000000
1,0,-7.941022,1.098759,1.165690,0.256736,0.750000,1.000000
2,1,-1.287512,0.037331,-1.403490,0.173023,0.750000,1.000000
0,0,-7.604016,-1.032708,1.278422,-0.047806,0.750000,1.100000
1,0,-7.825876,1.107737,1.151452,0.089782,0.750000,1.100000
2,1,-1.435764,0.036994,-1.482518,-0.003368,0.750000,1.100000
0,0,-7.496378,-1.084605,1.076382,-0.518974,0.750000,1.200000
1,0,-7.730503,1.144013,0.953737,0.362760,0.750000,1.200000
