id,gid,x,y,v_x,v_y,radius,time
0,0,-8.998359,-1.001152,0.016413,-0.011516,0.750000,0.100000
1,0,-8.942886,0.989893,0.571138,-0.101072,0.750000,0.100000
2,1,-0.073709,0.000926,-0.737092,0.009261,0.750000,0.100000
0,0,-8.932203,-1.022772,0.661558,-0.216205,0.750000,0.200000
1,0,-8.850241,0.984742,0.926456,-0.051504,0.750000,0.200000
2,1,-0.187804,0.005825,-1.140952,0.048992,0.750000,0.200000
0,0,-8.856588,-1.041250,0.756146,-0.184782,0.750000,0.300000
1,0,-8.741582,0.994098,1.086588,0.093555,0.750000,0.300000
2,1,-0.292890,0.003179,-1.050853,-0.026461,0.750000,0.300000
0,0,-8.740454,-1.044639,1.161340,-0.033892,0.750000,0.400000
1,0,-8.593403,1.011548,1.481788,0.174500,0.750000,0.400000
2,1,-0.424964,0.000026,-1.320742,-0.031528,0.750000,0.400000
0,0,-8.594653,-1.029730,1.458008,0.149094,0.750000,0.500000
1,0,-8.447051,1.015975,1.463519,0.044270,0.750000,0.500000
2,1,-0.546949,0.002666,-1.219850,0.026395,0.750000,0.500000
0,0,-8.459134,-1.018555,1.355197,0.111751,0.750000,0.600000
1,0,-8.315037,1.023886,1.320143,0.079116,0.750000,0.600000
2,1,-0.673982,0.022335,-1.270330,0.196694,0.750000,0.600000
0,0,-8.319456,-1.018974,1.396780,-0.004194,0.750000,0.700000
1,0,-8.190396,1.030331,1.246409,0.064448,0.750000,0.700000
2,1,-0.808323,0.041232,-1.343410,0.188963,0.750000,0.700000
0,0,-8.187682,-1.022141,1.317741,-0.031666,0.750000,0.800000
1,0,-8.063059,1.026841,1.273365,-0.034906,0.750000,0.800000
2,1,-0.954669,0.048487,-1.463457,0.072552,0.750000,0.800000
0,0,-8.045053,-1.019143,1.426291,0.029983,0.750000,0.900000
1,0,-7.933291,1.039063,1.297681,0.122224,0.750000,0.900000
2,1,-1.108079,0.044741,-1.534100,-0.037459,0.750000,0.900000
0,0,-7.901501,-1.011302,1.435515,0.078411,0.750000,1.000000
1,0,-7.803180,1.042249,1.301118,0.031862,0.750000,1.000000
2,1,-1.227243,0.058896,-1.191646,0.141549,0.750000,1.000000
0,0,-7.780696,-1.011987,1.208050,-0.006858,0.750000,1.100000
1,0,-7.699423,1.032600,1.037566,-0.096496,0.750000,1.100000
2,1,-1.361648,0.067325,-1.344044,0.084295,0.750000,1.100000
0,0,-7.650323,-1.001656,1.303729,0.103315,0.750000,1.200000
1,0,-7.573877,1.068864,1.255462,0.362639,0.750000,1.200000
2,1,-1.462166,0.030962,-1.005185,-0.363627,0.750000,1.200000
0,0,-7.557270,-0.953845,0.930529,0.478111,0.750000,1.300000
1,0,-7.450945,1.103051,1.229315,0.341875,0.750000,1.300000
2,1,-1.518914,-0.043157,-0.567483,-0.741194,0.750000,1.300000
0,0,-7.452435,-0.923117,1.048349,0.307283,0.750000,1.400000
1,0,-7.327704,1.137918,1.232413,0.348667,0.750000,1.400000
2,1,-1.587492,-0.066090,-0.685776,-0.229332,0.750000,1.400000
0,0,-7.366562,-0.879459,0.858729,0.436575,0.750000,1.500000
1,0,-7.206438,1.165653,1.212659,0.277355,0.750000,1.500000
2,1,-1.689905,-0.127277,-1.024128,-0.611872,0.750000,1.500000
0,0,-7.260604,-0.836614,1.059580,0.428456,0.750000,1.600000
1,0,-7.047914,1.169124,1.585239,0.034705,0.750000,1.600000
2,1,-1.790506,-0.186611,-1.006011,-0.593339,0.750000,1.600000
0,0,-7.146101,-0.793249,1.145038,0.433642,0.750000,1.700000
1,0,-6.900126,1.182692,1.477884,0.135681,0.750000,1.700000
2,1,-1.879457,-0.269156,-0.889509,-0.825446,0.750000,1.700000
0,0,-7.046814,-0.743236,0.992870,0.500129,0.750000,1.800000
1,0,-6.752257,1.190736,1.478692,0.080439,0.750000,1.800000
2,1,-1.978454,-0.342612,-0.989968,-0.734562,0.750000,1.800000
0,0,-6.930512,-0.727623,1.163021,0.156138,0.750000,1.900000
1,0,-6.608178,1.209046,1.440782,0.183096,0.750000,1.900000
2,1,-2.082961,-0.399061,-1.045070,-0.564491,0.750000,1.900000
0,0,-6.852740,-0.682284,0.777719,0.453388,0.750000,2.000000
1,0,-6.459635,1.235470,1.485437,0.264245,0.750000,2.000000
2,1,-2.190042,-0.477996,-1.070816,-0.789350,0.750000,2.000000
0,0,-6.750790,-0.636726,1.019498,0.455581,0.750000,2.100000
1,0,-6.339748,1.235564,1.198870,0.000940,0.750000,2.100000
2,1,-2.303315,-0.550993,-1.132730,-0.729966,0.750000,2.100000
0,0,-6.674822,-0.613093,0.759677,0.236331,0.750000,2.200000
1,0,-6.220136,1.260975,1.196112,0.254112,0.750000,2.200000
2,1,-2.464830,-0.619305,-1.615143,-0.683126,0.750000,2.200000
0,0,-6.581490,-0.556874,0.933322,0.562183,0.750000,2.300000
1,0,-6.109074,1.261948,1.110625,0.009731,0.750000,2.300000
2,1,-2.618639,-0.697464,-1.538094,-0.781586,0.750000,2.300000
0,0,-6.533699,-0.541752,0.477906,0.151228,0.750000,2.400000
1,0,-5.961531,1.284410,1.475427,0.224616,0.750000,2.400000
2,1,-2.764779,-0.760250,-1.461403,-0.627863,0.750000,2.400000
0,0,-6.471039,-0.518796,0.626605,0.229558,0.750000,2.500000
1,0,-5.847146,1.313818,1.143854,0.294081,0.750000,2.500000
2,1,-2.878246,-0.827669,-1.134671,-0.674189,0.750000,2.500000
0,0,-6.382348,-0.505925,0.886910,0.128706,0.750000,2.600000
1,0,-5.700587,1.324814,1.465585,0.109960,0.750000,2.600000
2,1,-2.989848,-0.896627,-1.116015,-0.689573,0.750000,2.600000
0,0,-6.254746,-0.487241,1.276018,0.186844,0.750000,2.700000
1,0,-5.549336,1.305232,1.512513,-0.195816,0.750000,2.700000
2,1,-3.076489,-0.965068,-0.866412,-0.684418,0.750000,2.700000
0,0,-6.154634,-0.445747,1.001122,0.414940,0.750000,2.800000
1,0,-5.369411,1.282521,1.799256,-0.227114,0.750000,2.800000
2,1,-3.130483,-1.038250,-0.539935,-0.731821,0.750000,2.800000
0,0,-6.047645,-0.413233,1.069885,0.325137,0.750000,2.900000
1,0,-5.195556,1.263452,1.738549,-0.190691,0.750000,2.900000
2,1,-3.225182,-1.072670,-0.946992,-0.344196,0.750000,2.900000
0,0,-5.937054,-0.363028,1.105914,0.502055,0.750000,3.000000
1,0,-5.027455,1.246080,1.681009,-0.173715,0.750000,3.000000
2,1,-3.311183,-1.129170,-0.860017,-0.564995,0.750000,3.000000
0,0,-5.809017,-0.336388,1.280371,0.266401,0.750000,3.100000
1,0,-4.886784,1.238409,1.406707,-0.076709,0.750000,3.100000
2,1,-3.397799,-1.155888,-0.866152,-0.267180,0.750000,3.100000
0,0,-5.744375,-0.296079,0.646423,0.403090,0.750000,3.200000
1,0,-4.745521,1.252651,1.412629,0.142412,0.750000,3.200000
2,1,-3.503873,-1.212517,-1.060740,-0.566290,0.750000,3.200000
0,0,-5.649310,-0.274228,0.950644,0.218502,0.750000,3.300000
1,0,-4.631538,1.270134,1.139836,0.174831,0.750000,3.300000
2,1,-3.612462,-1.259278,-1.085892,-0.467611,0.750000,3.300000
0,0,-5.568010,-0.222405,0.813003,0.518236,0.750000,3.400000
1,0,-4.487298,1.277027,1.442392,0.068934,0.750000,3.400000
2,1,-3.731256,-1.314884,-1.187945,-0.556068,0.750000,3.400000
0,0,-5.483347,-0.177147,0.846630,0.452578,0.750000,3.500000
1,0,-4.339263,1.285761,1.480350,0.087344,0.750000,3.500000
