id,gid,x,y,v_x,v_y,radius,time
0,0,7.902218,-0.006547,-0.977824,-0.065473,0.500000,0.100000
1,1,5.596438,5.600369,-0.604118,-0.564812,0.500000,0.100000
2,2,0.003942,7.891594,0.039427,-1.084064,0.500000,0.100000
3,3,-5.569847,5.573830,0.870031,-0.830202,0.500000,0.100000
4,4,-7.974049,0.003331,0.259510,0.033321,0.500000,0.100000
5,5,-5.653910,-5.635301,0.029401,0.215586,0.500000,0.100000
6,6,-0.002416,-7.944124,-0.024158,0.558757,0.500000,0.100000
7,7,5.580815,-5.587196,-0.760447,0.696543,0.500000,0.100000
0,0,7.775687,-0.003702,-1.265309,0.028452,0.500000,0.200000
1,1,5.519202,5.516524,-0.772359,-0.838448,0.500000,0.200000
2,2,-0.011581,7.746215,-0.155238,-1.453786,0.500000,0.200000
3,3,-5.477934,5.492681,0.919132,-0.811487,0.500000,0.200000
4,4,-7.931352,0.009504,0.426966,0.061723,0.500000,0.200000
5,5,-5.597069,-5.572187,0.568407,0.631140,0.500000,0.200000
6,6,-0.000304,-7.819171,0.021122,1.249530,0.500000,0.200000
7,7,5.499215,-5.505329,-0.816004,0.818665,0.500000,0.200000
0,0,7.609840,0.014185,-1.658464,0.178868,0.500000,0.300000
1,1,5.462512,5.454237,-0.566906,-0.622868,0.500000,0.300000
2,2,0.003702,7.569462,0.152831,-1.767529,0.500000,0.300000
3,3,-5.405034,5.429351,0.728994,-0.633296,0.500000,0.300000
4,4,-7.821629,0.008900,1.097233,-0.006041,0.500000,0.300000
5,5,-5.520987,-5.504921,0.760826,0.672660,0.500000,0.300000
6,6,-0.031656,-7.679699,-0.313521,1.394722,0.500000,0.300000
7,7,5.378094,-5.385463,-1.211207,1.198662,0.500000,0.300000
0,0,7.481262,-0.010433,-1.285787,-0.246179,0.500000,0.400000
1,1,5.396254,5.388752,-0.662576,-0.654856,0.500000,0.400000
2,2,0.013993,7.404454,0.102909,-1.650082,0.500000,0.400000
3,3,-5.368081,5.371638,0.369535,-0.577135,0.500000,0.400000
4,4,-7.677609,0.011869,1.440205,0.029699,0.500000,0.400000
5,5,-5.463617,-5.460346,0.573694,0.445757,0.500000,0.400000
6,6,0.011677,-7.564657,0.433330,1.150417,0.500000,0.400000
7,7,5.289885,-5.308821,-0.882092,0.766422,0.500000,0.400000
0,0,7.314846,-0.000009,-1.664158,0.104237,0.500000,0.500000
1,1,5.338036,5.322985,-0.582178,-0.657667,0.500000,0.500000
2,2,0.006787,7.245371,-0.072061,-1.590830,0.500000,0.500000
3,3,-5.299819,5.297592,0.682615,-0.740455,0.500000,0.500000
4,4,-7.556116,0.000646,1.214926,-0.112236,0.500000,0.500000
5,5,-5.397557,-5.385914,0.660605,0.744322,0.500000,0.500000
6,6,-0.002788,-7.409366,-0.144654,1.552915,0.500000,0.500000
7,7,5.155251,-5.197958,-1.346340,1.108625,0.500000,0.500000
0,0,7.155646,0.020692,-1.592000,0.207017,0.500000,0.600000
1,1,5.267139,5.246877,-0.708969,-0.761084,0.500000,0.600000
2,2,0.011831,7.094507,0.050443,-1.508635,0.500000,0.600000
3,3,-5.242701,5.248050,0.571183,-0.495428,0.500000,0.600000
4,4,-7.400270,-0.019770,1.558461,-0.204154,0.500000,0.600000
5,5,-5.362449,-5.318396,0.351073,0.675171,0.500000,0.600000
6,6,0.018515,-7.288975,0.213032,1.203913,0.500000,0.600000
7,7,5.074000,-5.130649,-0.812508,0.673089,0.500000,0.600000
0,0,6.997850,0.044025,-1.577957,0.233324,0.500000,0.700000
1,1,5.210306,5.177525,-0.568335,-0.693520,0.500000,0.700000
2,2,0.008480,6.952060,-0.033513,-1.424477,0.500000,0.700000
3,3,-5.183994,5.182914,0.587065,-0.651356,0.500000,0.700000
4,4,-7.278716,-0.046458,1.215536,-0.266889,0.500000,0.700000
5,5,-5.305264,-5.243212,0.571852,0.751847,0.500000,0.700000
6,6,0.015081,-7.136580,-0.034345,1.523942,0.500000,0.700000
7,7,5.008358,-5.100236,-0.656427,0.304132,0.500000,0.700000
0,0,6.857724,0.071417,-1.401257,0.273925,0.500000,0.800000
1,1,5.152926,5.099727,-0.573804,-0.777972,0.500000,0.800000
2,2,0.013080,6.805900,0.046009,-1.461601,0.500000,0.800000
3,3,-5.110800,5.130924,0.731947,-0.519902,0.500000,0.800000
4,4,-7.146176,-0.034277,1.325404,0.121813,0.500000,0.800000
5,5,-5.270233,-5.201321,0.350308,0.418911,0.500000,0.800000
6,6,0.015960,-7.002985,0.008795,1.335956,0.500000,0.800000
7,7,4.936377,-5.052464,-0.719807,0.477724,0.500000,0.800000
0,0,6.695791,0.091630,-1.619336,0.202126,0.500000,0.900000
1,1,5.113645,5.042564,-0.392804,-0.571635,0.500000,0.900000
2,2,0.026303,6.653267,0.132224,-1.526323,0.500000,0.900000
3,3,-5.056661,5.056875,0.541391,-0.740486,0.500000,0.900000
4,4,-7.006244,-0.028849,1.399323,0.054278,0.500000,0.900000
5,5,-5.225581,-5.153496,0.446525,0.478244,0.500000,0.900000
6,6,0.018531,-6.874352,0.025707,1.286329,0.500000,0.900000
7,7,4.869383,-5.018699,-0.669937,0.337653,0.500000,0.900000
0,0,6.558418,0.095867,-1.373727,0.042375,0.500000,1.000000
1,1,5.064699,4.976286,-0.489464,-0.662780,0.500000,1.000000
2,2,0.018896,6.486667,-0.074065,-1.666005,0.500000,1.000000
3,3,-4.995157,4.977136,0.615038,-0.797394,0.500000,1.000000
4,4,-6.868858,-0.023463,1.373852,0.053865,0.500000,1.000000
5,5,-5.174751,-5.121090,0.508295,0.324060,0.500000,1.000000
6,6,0.019850,-6.745625,0.013194,1.287270,0.500000,1.000000
7,7,4.800816,-4.976409,-0.685671,0.422899,0.500000,1.000000
0,0,6.420474,0.086453,-1.379437,-0.094141,0.500000,1.100000
1,1,5.008683,4.906913,-0.560154,-0.693730,0.500000,1.100000
2,2,-0.004819,6.325189,-0.237157,-1.614774,0.500000,1.100000
3,3,-4.953123,4.924656,0.420334,-0.524794,0.500000,1.100000
4,4,-6.720238,-0.033692,1.486201,-0.102290,0.500000,1.100000
5,5,-5.118443,-5.066566,0.563085,0.545245,0.500000,1.100000
6,6,0.019211,-6.602069,-0.006394,1.435561,0.500000,1.100000
7,7,4.753591,-4.920328,-0.472252,0.560806,0.500000,1.100000
0,0,6.298720,0.089724,-1.217544,0.032709,0.500000,1.200000
1,1,4.951349,4.834243,-0.573346,-0.726703,0.500000,1.200000
2,2,-0.022748,6.177906,-0.179283,-1.472829,0.500000,1.200000
3,3,-4.907632,4.867265,0.454916,-0.573919,0.500000,1.200000
4,4,-6.577335,-0.030541,1.429030,0.031509,0.500000,1.200000
5,5,-5.056998,-4.993044,0.614445,0.735213,0.500000,1.200000
6,6,0.032590,-6.462226,0.133786,1.398428,0.500000,1.200000
7,7,4.698855,-4.863293,-0.547360,0.570349,0.500000,1.200000
0,0,6.173819,0.074754,-1.249013,-0.149704,0.500000,1.300000
1,1,4.918171,4.741972,-0.331779,-0.922705,0.500000,1.300000
2,2,-0.033812,6.038953,-0.110646,-1.389538,0.500000,1.300000
3,3,-4.858981,4.811216,0.486507,-0.560486,0.500000,1.300000
4,4,-6.446010,-0.024947,1.313256,0.055944,0.500000,1.300000
5,5,-4.972387,-4.933427,0.846114,0.596178,0.500000,1.300000
6,6,0.067701,-6.307203,0.351119,1.550231,0.500000,1.300000
7,7,4.643425,-4.811530,-0.554298,0.517635,0.500000,1.300000
0,0,6.043020,0.062361,-1.307991,-0.123927,0.500000,1.400000
